Substance Name,Identity
Diarsenic pentoxide,00001
Diarsenic trioxide,00002
Asbestos,00003
Azocolourants and Azodyes which form certain aromatic amines,00004
Beryllium Oxide,00005
Boric acid,00007
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",00008
"Brominated flame retardants (other than PBBs, PBDEs, or HBCDD)",00009
Cadmium/Cadmium compounds,00010
Cadmium/Cadmium compounds,00011
Chromium (VI) Compounds,00012
Cobalt dichloride,00013
Dibutyltin (DBT) compounds,00014
Dioctyltin (DOT) compounds,00015
Dimethylfumarate (DMF),00016
"Disodium tetraborate, anhydrous",00017
"Fluorinated Greenhouse Gases (PFC, SF6, HFC)",00018
Formaldehyde,00019
Hexabromocyclododecane (HBCDD),00020
Lead/Lead Compounds,00021
Lead/Lead Compounds,00022
Lead/Lead Compounds,00023
Lead/Lead Compounds,00024
Lead/Lead Compounds,00025
Lead chromate,00026
Lead chromate molybdate sulphate red (C.I. Pigment Red 104),00027
Lead sulfochromate yellow (C.I. Pigment Yellow 34),00028
Mercury/Mercury Compounds,00029
Mercury/Mercury Compounds,00030
Mercury/Mercury Compounds,00132
Nickel/Nickel Compounds,00031
"Ozone Depleting Substances (CFC, Halon, HBFC, HCFC & others)",00032
Perchlorates,00033
"2-benzotriazol-2-yl-4,6-di-tert-butylphenol (UV-320)",00035
"Phthalates, Selected Group 1 (DEHP, DBP, BBP, DIBP)",00036
"Phthalates, Selected Group 2 (DIDP, DINP, DNOP)",00037
Bis (2-ethylhexyl)phthalate (DEHP),00038
Dibutyl phthalate (DBP),00039
Benzyl butyl phthalate (BBP),00040
Diisobutyl phthalate,00041
"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich",00042
"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",00043
Polybrominated biphenyls (PBB),00044
Polybrominated diphenyl ethers (PBDE),00045
Polychlorinated Biphenyls (PCBs) and specific substitutes,00046
Polychlorinated Terphenyls (PCTs),00047
Polychlorinated naphthalenes,00048
Radioactive substances,00049
Aluminosilicate Refractory Ceramic Fibres,00050
Zirconia Aluminosilicate Refractory Ceramic Fibres,00051
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",00052
Strontium chromate,00053
Bis(tributyltin) oxide (TBTO),00054
Tri-substituted organostannic compounds,00055
Tris(2-chloroethyl) phosphate,00056
"4-(1,1,3,3-tetramethylbutyl)phenol",00057
Bis(2-methoxyethyl) ether,00058
Bis(2-methoxyethyl) phthalate,00059
Pentazinc chromate octahydroxide,00060
Potassium hydroxyoctaoxodizincatedichromate,00061
Chlorinated Flame Retardants (CFR),00062
Chlorinated Flame Retardants (CFR),00063
Bis(pentabromophenyl) ether (decabromodiphenyl ether) (DecaBDE),00064
"Sulfurous acid, lead salt, dibasic",00065
