Substance Name,Identity
Triethyl arsenate,00001
"Sodium dichromate, dihydrate",00002
Lead hydrogen arsenate,00003
Hexabromocyclododecane (HBCDD) and all major diastereoisomers,00004
Dibutyl phthalate (DBP),00005
Diarsenic trioxide,00006
Diarsenic pentoxide,00007
Tributyl tin oxide (TBTO),00008
Bis (2-ethylhexyl) phthalate (DEHP),00009
Benzyl butyl phthalate (BBP),00010
Anthracene,00011
Shortchain chlorinated paraffins (C10 - C13),00012
"5-tert-butyl-2,4,6-trinitro-m-xylene",00013
"4,4'-Diaminodiphenylmethane",00014
Cobalt dichloride (CoCl2),00015
Tris (2-chloroethyl) phosphate (TCEP),00016
"Coal tar pitch, high temperature",00017
Lead sulfochromate yellow (C.I. Pigment Yellow 34),00018
Lead chromate molybdate sulfate red (C.I. Pigment Red 104),00019
Lead chromate,00020
Diisobutyl phthalate (DIBP),00021
"Anthracene oil,anthracene paste, distn. Lights",00022
"Anthracene oil,anthracene paste,anthracene fraction",00023
"Anthracene oil,anthracene paste",00024
"Anthracene oil, anthracene-low",00025
Anthracene oil,00026
"2,4-Dinitrotoluene",00027
Acrylamide,00028
Sodium chromate,00029
Potassium chromate,00030
Ammonium dichromate,00031
Potassium dichromate,00032
"Tetraboron disodium heptaoxide, hydrate",00033
"Disodium tetraborate, anhydrous",00034
Boric acid,00035
Trichlorethylene,00036
Chromium Trioxide,00037
Acids generated from chromium trioxide and their oligomers,00038
2-Ethoxyethanol,00039
2-Methoxyethanol,00040
Cobalt(II) Diacetate,00041
Cobalt(II) Carbonate,00042
Cobalt(II) Dinitrate,00043
Cobalt(II) Sulphate,00044
"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters (DHNUP)",00045
"1,2,3-Trichloropropane",00046
1-Methyl-2-pyrrolidone,00047
Hydrazine,00048
"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich (DIHP)",00049
Strontium chromate,00050
2-Ethoxyethyl acetate,00051
"2,2'-dichloro-4,4'-methylenedianiline",00052
Bis(2-methoxyethyl) phthalate,00053
Bis(2-methoxyethyl) ether,00054
Calcium arsenate,00055
Potassium hydroxyoctaoxodizincatedichromate,00056
Lead dipicrate,00057
"N,N-dimethylacetamide",00058
Arsenic acid,00059
2-Methoxyaniline; o-Anisidine,00060
Trilead diarsenate,00061
"1,2-dichloroethane",00062
Pentazinc chromate octahydroxide,00063
"Formaldehyde, oligomeric reaction products with aniline",00064
"4-(1,1,3,3-tetramethylbutyl)phenol",00065
"Lead diazide, Lead azide",00066
Phenolphthalein,00067
Dichromium tris(chromate),00068
Lead styphnate,00069
Zirconia Aluminosilicate Refractory Ceramic Fibres,00070
Aluminosilicate Refractory Ceramic Fibres,00071
Diboron trioxide,00072
Lead(II) bis(methanesulfonate),00073
"1,2-bis(2-methoxyethoxy)ethane (TEGDME; triglyme)",00074
"1,2-dimethoxyethane; ethylene glycol dimethyl ether (EGDME)",00075
Formamide,00076
"1,3,5-tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione (TGIC)",00077
"1,3,5-tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione (B-TGIC)",00078
"4,4'-bis(dimethylamino)benzophenone (Michler's ketone)",00079
"N,N,N',N'-tetramethyl-4,4'-methylenedianiline (Michler's base)",00080
"[4-[[4-anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene] dimethylammonium chloride (C.I. Basic Blue 26) [with greater than or equal to 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",00081
"a,a-Bis[4-(dimethylamino)phenyl]-4 (phenylamino)naphthalene-1-methanol (C.I. Solvent Blue 4) [with greater than or equal to 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",00082
"[4-[4,4'-bis(dimethylamino) benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (C.I. Basic Violet 3) [with greater than or equal to 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",00083
"4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol [with greater than or equal to 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",00084
"Pyrochlore, antimony lead yellow",00085
6-methoxy-m-toluidine (p-cresidine),00086
Henicosafluoroundecanoic acid,00087
"Hexahydromethylphthalic anhydride [1], Hexahydro-4-methylphthalic anhydride [2], Hexahydro-1-methylphthalic anhydride [3], Hexahydro-3-methylphthalic anhydride [4] [The individual isomers [2], [3] and [4] (including their cis- and trans- stereo isomeric forms) and all possible combinations of the isomers [1] are covered by this entry]",00088
"Cyclohexane-1,2-dicarboxylic anhydride [1], cis-cyclohexane-1,2-dicarboxylic anhydride [2], trans-cyclohexane-1,2-dicarboxylic anhydride [3] [The individual cis- [2] and trans- [3] isomer substances and all possible combinations of the cis- and trans-isomers [1] are covered by this entry]",00089
Dibutyltin dichloride (DBTC),00090
